inf	-nan
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
inf	inf
2.91724	0.435984
2.75384	0.436165
2.60739	0.436328
2.47537	0.436475
2.35572	0.436608
2.24678	0.436729
2.14714	0.43684
2.05786	0.437411
2.0579	0.456225
2.05794	0.475112
2.05798	0.494077
2.05802	0.513122
2.05806	0.532251
2.0581	0.551468
2.05815	0.570775
2.05819	0.590178
2.05824	0.609679
2.05829	0.629282
2.05834	0.648991
2.05838	0.66881
2.05843	0.688743
2.05849	0.708794
2.05854	0.728967
2.05859	0.749266
2.05865	0.769696
2.0587	0.790261
2.05876	0.810966
2.05881	0.831815
2.05887	0.852813
2.05893	0.873965
2.05899	0.895276
2.05906	0.916751
2.05912	0.938395
2.05918	0.960213
2.05925	0.982212
2.05932	1.0044
2.05939	1.02677
1.83666	0.935825
1.7978	0.935874
1.76021	0.935922
1.72384	0.935969
1.68861	0.936014
1.65448	0.936058
1.62138	0.936101
1.58926	0.936144
1.55807	0.936185
1.52778	0.936226
1.49834	0.936265
1.4697	0.936304
1.44184	0.936342
1.41472	0.93638
1.3883	0.936417
1.36255	0.936453
1.33744	0.936489
1.31296	0.936524
1.28906	0.936558
1.26573	0.936592
1.24294	0.936626
1.22068	0.936659
1.19891	0.936692
1.17762	0.936724
1.1568	0.936756
1.13641	0.936788
1.11646	0.936819
1.09691	0.93685
1.07776	0.936881
1.05899	0.936911
1.04058	0.936941
1.02252	0.936971
1.00481	0.937001
0.987424	0.93703
0.970353	0.937059
0.953588	0.937088
0.937117	0.937117
0.92093	0.937145
0.905018	0.937174
0.889372	0.937202
0.873981	0.93723
0.858839	0.937258
0.857812	0.952697
0.857883	0.96966
0.857955	0.986964
0.858029	1.00462
0.858104	1.02265
0.858182	1.04106
0.858262	1.05986
0.858343	1.07909
0.858427	1.09874
0.858513	1.11884
0.858602	1.1394
0.858692	1.16046
0.858786	1.18202
0.858882	1.20411
0.85898	1.22675
0.859081	1.24997
0.859186	1.2738
0.859293	1.29825
0.859403	1.32337
0.859517	1.34917
0.859635	1.3757
0.859756	1.40299
0.859881	1.43108
0.86001	1.46001
0.860143	1.48981
0.86028	1.52054
0.860422	1.55224
0.860569	1.58497
0.860722	1.61878
0.860879	1.65373
0.861043	1.68989
0.861212	1.72732
0.861388	1.76611
0.861571	1.80632
0.861761	1.84805
0.861959	1.8914
0.862164	1.93645
1.3301	3.05901
1.29851	3.0591
1.26716	3.0592
1.23603	3.05929
1.20512	3.05938
1.17442	3.05948
1.14393	3.05957
1.11363	3.05967
1.08352	3.05976
1.05359	3.05986
1.02385	3.05996
0.994272	3.06005
0.979556	3.10675
0.980013	3.20548
0.980498	3.31011
0.981014	3.4212
0.981563	3.5394
0.982148	3.66543
0.982774	3.80011
0.983445	3.94438
inf	inf
0.950724	4.11804
0.913027	4.1184
0.875469	4.11876
0.838044	4.11912
0.800745	4.11948
0.763566	4.11984
0.726502	4.1202
0.689545	4.12056
0.652689	4.12092
0.615929	4.12128
0.579259	4.12164
0.542672	4.122
0.506163	4.12237
0.469726	4.12273
0.433355	4.12309
0.397044	4.12346
0.360788	4.12383
0.324581	4.12419
0.288417	4.12456
0.252292	4.12493
0.216198	4.1253
0.180131	4.12567
0.144085	4.12605
0.108054	4.12642
0.0720335	4.12679
0.0360173	4.12717
7.40852e-09	4.12755
-0.036622	4.19646
-0.0732562	4.19685
-0.109909	4.19724
-0.146584	4.19763
-0.18329	4.19802
-0.22003	4.19842
-0.25681	4.19881
-0.293637	4.19921
-0.330517	4.19961
-0.367454	4.20002
-0.404454	4.20042
-0.441525	4.20083
-0.47867	4.20124
-0.515898	4.20165
-0.553212	4.20206
-0.59062	4.20248
-0.628127	4.2029
-0.665741	4.20332
-0.703466	4.20374
-0.741309	4.20417
-0.779277	4.2046
-0.817376	4.20504
-0.855613	4.20547
-0.893994	4.20591
-0.932526	4.20635
-0.971216	4.2068
-1.01007	4.20725
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-inf	inf
-1.96658	5.40314
-1.96725	5.26166
-1.96789	5.12654
-1.96851	4.99735
-1.9691	4.87369
-1.96966	4.75518
-1.9702	4.64151
-1.97072	4.53236
-1.98331	4.45459
-2.03021	4.45489
-2.07749	4.4552
-2.12517	4.45551
-2.17325	4.45583
-2.22176	4.45615
-2.27069	4.45648
-2.32007	4.45681
-2.36991	4.45715
-2.42022	4.45749
-2.47102	4.45783
-2.52232	4.45818
-2.57414	4.45854
-2.62649	4.4589
-2.67939	4.45926
-2.73287	4.45963
-2.78692	4.46001
-2.84158	4.46039
-2.89687	4.46078
-2.95279	4.46118
-inf	inf
-inf	inf
-inf	inf
-3.04749	4.27242
-3.04788	4.19504
-3.04826	4.11948
-3.04863	4.04567
-3.049	3.97353
-3.04935	3.90299
-3.04971	3.834
-3.05005	3.7665
-3.05039	3.70042
-3.05072	3.63571
