2.91724	0.435984	2.94964	-1.42244
2.75384	0.436165	2.78817	-1.41372
2.60739	0.436328	2.64365	-1.40499
2.47537	0.436475	2.51356	-1.39626
2.35572	0.436608	2.39584	-1.38754
2.24678	0.436729	2.28883	-1.37881
2.14714	0.43684	2.19113	-1.37008
2.05786	0.437411	2.10383	-1.36136
2.0579	0.456225	2.10786	-1.35263
2.05794	0.475112	2.11207	-1.3439
2.05798	0.494077	2.11646	-1.33518
2.05802	0.513122	2.12102	-1.32645
2.05806	0.532251	2.12577	-1.31772
2.0581	0.551468	2.13071	-1.309
2.05815	0.570775	2.13583	-1.30027
2.05819	0.590178	2.14114	-1.29154
2.05824	0.609679	2.14664	-1.28282
2.05829	0.629282	2.15233	-1.27409
2.05834	0.648991	2.15823	-1.26536
2.05838	0.66881	2.16431	-1.25664
2.05843	0.688743	2.1706	-1.24791
2.05849	0.708794	2.1771	-1.23918
2.05854	0.728967	2.1838	-1.23046
2.05859	0.749266	2.19071	-1.22173
2.05865	0.769696	2.19783	-1.213
2.0587	0.790261	2.20517	-1.20428
2.05876	0.810966	2.21272	-1.19555
2.05881	0.831815	2.2205	-1.18682
2.05887	0.852813	2.22851	-1.1781
2.05893	0.873965	2.23674	-1.16937
2.05899	0.895276	2.24521	-1.16064
2.05906	0.916751	2.25392	-1.15192
2.05912	0.938395	2.26286	-1.14319
2.05918	0.960213	2.27206	-1.13446
2.05925	0.982212	2.2815	-1.12574
2.05932	1.0044	2.2912	-1.11701
2.05939	1.02677	2.30116	-1.10828
1.83666	0.935825	2.06133	-1.09956
1.7978	0.935874	2.02681	-1.09083
1.76021	0.935922	1.99357	-1.0821
1.72384	0.935969	1.96155	-1.07338
1.68861	0.936014	1.93068	-1.06465
1.65448	0.936058	1.90092	-1.05592
1.62138	0.936101	1.8722	-1.0472
1.58926	0.936144	1.84448	-1.03847
1.55807	0.936185	1.8177	-1.02974
1.52778	0.936226	1.79182	-1.02102
1.49834	0.936265	1.76681	-1.01229
1.4697	0.936304	1.74261	-1.00356
1.44184	0.936342	1.7192	-0.994838
1.41472	0.93638	1.69653	-0.986111
1.3883	0.936417	1.67459	-0.977384
1.36255	0.936453	1.65332	-0.968658
1.33744	0.936489	1.63272	-0.959931
1.31296	0.936524	1.61274	-0.951204
1.28906	0.936558	1.59337	-0.942478
1.26573	0.936592	1.57457	-0.933751
1.24294	0.936626	1.55634	-0.925025
1.22068	0.936659	1.53863	-0.916298
1.19891	0.936692	1.52144	-0.907571
1.17762	0.936724	1.50474	-0.898845
1.1568	0.936756	1.48852	-0.890118
1.13641	0.936788	1.47276	-0.881391
1.11646	0.936819	1.45743	-0.872665
1.09691	0.93685	1.44253	-0.863938
1.07776	0.936881	1.42804	-0.855211
1.05899	0.936911	1.41395	-0.846485
1.04058	0.936941	1.40024	-0.837758
1.02252	0.936971	1.38689	-0.829031
1.00481	0.937001	1.3739	-0.820305
0.987424	0.93703	1.36126	-0.811578
0.970353	0.937059	1.34895	-0.802851
0.953588	0.937088	1.33696	-0.794125
0.937117	0.937117	1.32528	-0.785398
0.92093	0.937145	1.31391	-0.776672
0.905018	0.937174	1.30283	-0.767945
0.889372	0.937202	1.29203	-0.759218
0.873981	0.93723	1.2815	-0.750492
0.858839	0.937258	1.27124	-0.741765
0.857812	0.952697	1.28198	-0.733038
0.857883	0.96966	1.29468	-0.724312
